Date,Observation,GDP,RLGDP,Population,MF,FIRREA,TRA86,TRA97,FHFA,PH,Pop,MORTGAGE30US,SF,All,GDP_NSA,RES_GDP_DEF,TOT_GDP_DEF,RES_GDP_NSA,RLGDP_NSA,del_RLGDPNSA,del_RLGDPNSAyoy,delPop,hhs,SFshare,SFsharepc,SFcomShare,SFcomSharepc,SFcomlagShare,SFcomlagSharepc,AllComp,SFComp,AllCompLag,SFCompLag,Mileage,CarPP
1/1/1976,69,1820.5,5889.5,217314,61.8,0,0,0,0,1,217.314,8.873076923,219,280.8,441178,24.269,30.925,16183,1426.606306,-62.903338,82.539324,466.3,2.89,0.77991453,77.99145299,0.725302061,72.53020611,0.762699014,76.26990144,281.4,204.1,395.7,301.8,626038,0.637614679
4/1/1976,70,1852.3,5932.711,217776,99.7,0,0,0,0,1,217.776,8.776923077,339.6,439.3,465343,24.977,31.233,22461,1489.90811,63.301804,88.747954,462,2.89,0.773048031,77.3048031,0.734322932,73.43229324,0.734188544,73.41885442,330.1,242.4,335.2,246.1,626038,0.637614679
7/1/1976,71,1886.6,5965.265,218337.7,100.7,0,0,0,0,1,218.3377,8.967692308,333.6,434.3,466535,25.38,31.632,24345,1474.88303,-15.02508,67.886653,561.7,2.89,0.768132627,76.81326272,0.772972973,77.2972973,0.75667107,75.667107,370,286,378.5,286.4,626038,0.637614679
10/1/1976,72,1934.3,6008.504,218917.3,112.8,0,0,0,0,1,218.9173,8.847142857,270.1,382.9,500358,25.844,32.169,23774,1555.404271,80.521241,65.894627,579.6,2.89,0.705406111,70.54061113,0.762699014,76.26990144,0.778983195,77.89831951,395.7,301.8,470.1,366.2,626038,0.637614679
1/1/1977,73,1988.6,6079.494,219426.7,98.7,0,0,0,0,1,219.4267,8.693333333,268.7,367.4,481996,26.478,32.689,20474,1474.48989,-80.914381,47.883584,509.4,2.86,0.731355471,73.13554709,0.734188544,73.41885442,0.75982256,75.98225602,335.2,246.1,473.4,359.7,665078,0.645454545
4/1/1977,74,2055.9,6197.686,219956,141,0,0,0,0,1,219.956,8.807692308,440.1,581.1,515010,27.193,33.205,30442,1551.001355,76.511465,61.093245,529.3,2.86,0.757356737,75.73567372,0.75667107,75.667107,0.717298452,71.72984517,378.5,286.4,374.6,268.7,665078,0.645454545
7/1/1977,75,2118.5,6309.514,220572.7,151.2,0,0,0,0,1,220.5727,8.925,410.3,561.5,526844,28.094,33.662,34076,1565.100113,14.098758,90.217083,616.7,2.86,0.730721282,73.07212823,0.778983195,77.89831951,0.744993324,74.49933244,470.1,366.2,449.4,334.8,665078,0.645454545
10/1/1977,76,2164.3,6309.652,221201,145.3,0,0,0,0,1,221.201,8.936923077,331.8,477.1,557979,28.966,34.225,30237,1630.325785,65.225672,74.921514,628.3,2.86,0.695451687,69.54516873,0.75982256,75.98225602,0.720190476,72.01904762,473.4,359.7,525,378.1,665078,0.645454545
1/1/1978,77,2202.8,6329.791,221718.7,104.5,0,0,0,0,1,221.7187,9.126923077,257.5,362,534990,29.798,34.786,24418,1537.9463,-92.379485,63.45641,517.7,2.81,0.711325967,71.13259669,0.717298452,71.72984517,0.747204011,74.72040108,374.6,268.7,518.6,387.5,668390,0.666666667
4/1/1978,78,2331.6,6574.39,222281.3,175.4,0,0,0,0,1,222.2813,9.557692308,449.1,624.5,583171,30.686,35.48,35715,1643.661218,105.714918,92.659863,562.6,2.81,0.719135308,71.91353082,0.744993324,74.49933244,0.699975327,69.99753269,449.4,334.8,405.3,283.7,668390,0.666666667
7/1/1978,79,2395.1,6640.497,222932.7,159.7,0,0,0,0,1,222.9327,9.76,403.9,563.6,596032,31.507,36.106,40827,1650.783803,7.122585,85.68369,651.4,2.81,0.716643009,71.66430092,0.720190476,72.01904762,0.702141467,70.21414666,525,378.1,462.3,324.6,668390,0.666666667
10/1/1978,80,2476.9,6729.755,223583,147.3,0,0,0,0,1,223.583,10.12230769,322.9,470.2,637402,32.337,36.819,37051,1731.176838,80.393035,100.851053,650.3,2.81,0.686729051,68.67290515,0.747204011,74.72040108,0.679411163,67.94111634,518.6,387.5,489.1,332.3,668390,0.666666667
